short line: Testbench for P8AX32

Opcode RDBYTE not found on both tests
Opcode RDWORD not found on both tests
Opcode RDLONG not found on both tests
Opcode HUBOP not found on both tests
Opcode UNDEF0 not found on both tests
Opcode UNDEF1 not found on both tests
Opcode UNDEF2 not found on both tests
Opcode UNDEF3 not found on both tests
NEGZ 7fffffff 80000001 11 7fffffff 80000001 01 01
NEGZ 80000000 80000001 00 80000001 7fffffff 01 01
NEGZ 80000000 80000001 11 7fffffff 80000001 01 01
NEGZ 80000001 80000001 00 80000001 7fffffff 01 01
NEGZ 80000001 80000001 11 7fffffff 80000001 01 01
NEGZ fffffffe 80000001 00 80000001 7fffffff 01 01
NEGZ fffffffe 80000001 11 7fffffff 80000001 01 01
NEGZ ffffffff 80000001 00 80000001 7fffffff 01 01
NEGZ ffffffff 80000001 11 7fffffff 80000001 01 01
NEGZ 00000000 fffffffe 00 fffffffe 00000002 01 01
NEGZ 00000000 fffffffe 11 00000002 fffffffe 01 01
NEGZ 00000001 fffffffe 00 fffffffe 00000002 01 01
NEGZ 00000001 fffffffe 11 00000002 fffffffe 01 01
NEGZ 00000002 fffffffe 00 fffffffe 00000002 01 01
NEGZ 00000002 fffffffe 11 00000002 fffffffe 01 01
NEGZ 7fffffff fffffffe 00 fffffffe 00000002 01 01
NEGZ 7fffffff fffffffe 11 00000002 fffffffe 01 01
NEGZ 80000000 fffffffe 00 fffffffe 00000002 01 01
NEGZ 80000000 fffffffe 11 00000002 fffffffe 01 01
NEGZ 80000001 fffffffe 00 fffffffe 00000002 01 01
NEGZ 80000001 fffffffe 11 00000002 fffffffe 01 01
NEGZ fffffffe fffffffe 00 fffffffe 00000002 01 01
NEGZ fffffffe fffffffe 11 00000002 fffffffe 01 01
NEGZ ffffffff fffffffe 00 fffffffe 00000002 01 01
NEGZ ffffffff fffffffe 11 00000002 fffffffe 01 01
NEGZ 00000000 ffffffff 00 ffffffff 00000001 01 01
NEGZ 00000000 ffffffff 11 00000001 ffffffff 01 01
NEGZ 00000001 ffffffff 00 ffffffff 00000001 01 01
NEGZ 00000001 ffffffff 11 00000001 ffffffff 01 01
NEGZ 00000002 ffffffff 00 ffffffff 00000001 01 01
NEGZ 00000002 ffffffff 11 00000001 ffffffff 01 01
NEGZ 7fffffff ffffffff 00 ffffffff 00000001 01 01
NEGZ 7fffffff ffffffff 11 00000001 ffffffff 01 01
NEGZ 80000000 ffffffff 00 ffffffff 00000001 01 01
NEGZ 80000000 ffffffff 11 00000001 ffffffff 01 01
NEGZ 80000001 ffffffff 00 ffffffff 00000001 01 01
NEGZ 80000001 ffffffff 11 00000001 ffffffff 01 01
NEGZ fffffffe ffffffff 00 ffffffff 00000001 01 01
NEGZ fffffffe ffffffff 11 00000001 ffffffff 01 0
NEGZ ffffffff ffffffff 00 ffffffff 00000001 01 01
NEGZ ffffffff ffffffff 11 00000001 ffffffff 01 01
NEGNC 00000000 00000001 00 ffffffff 00000001 00 00
NEGNC 00000000 00000001 11 00000001 ffffffff 00 00
NEGNC 00000001 00000001 00 ffffffff 00000001 00 00
NEGNC 00000001 00000001 11 00000001 ffffffff 00 00
NEGNC 00000002 00000001 00 ffffffff 00000001 00 00
NEGNC 00000002 00000001 11 00000001 ffffffff 00 00
NEGNC 7fffffff 00000001 00 ffffffff 00000001 00 00
NEGNC 7fffffff 00000001 11 00000001 ffffffff 00 00
NEGNC 80000000 00000001 00 ffffffff 00000001 00 00
NEGNC 80000000 00000001 11 00000001 ffffffff 00 00
NEGNC 80000001 00000001 00 ffffffff 00000001 00 00
NEGNC 80000001 00000001 11 00000001 ffffffff 00 00
NEGNC fffffffe 00000001 00 ffffffff 00000001 00 00
NEGNC fffffffe 00000001 11 00000001 ffffffff 00 00
NEGNC ffffffff 00000001 00 ffffffff 00000001 00 00
NEGNC ffffffff 00000001 11 00000001 ffffffff 00 00
NEGNC 00000000 00000002 00 fffffffe 00000002 00 00
NEGNC 00000000 00000002 11 00000002 fffffffe 00 00
NEGNC 00000001 00000002 00 fffffffe 00000002 00 00
NEGNC 00000001 00000002 11 00000002 fffffffe 00 00
NEGNC 00000002 00000002 00 fffffffe 00000002 00 00
NEGNC 00000002 00000002 11 00000002 fffffffe 00 00
NEGNC 7fffffff 00000002 00 fffffffe 00000002 00 00
NEGNC 7fffffff 00000002 11 00000002 fffffffe 00 00
NEGNC 80000000 00000002 00 fffffffe 00000002 00 00
NEGNC 80000000 00000002 11 00000002 fffffffe 00 00
NEGNC 80000001 00000002 00 fffffffe 00000002 00 00
NEGNC 80000001 00000002 11 00000002 fffffffe 00 00
NEGNC fffffffe 00000002 00 fffffffe 00000002 00 00
NEGNC fffffffe 00000002 11 00000002 fffffffe 00 00
NEGNC ffffffff 00000002 00 fffffffe 00000002 00 00
NEGNC ffffffff 00000002 11 00000002 fffffffe 00 00
NEGNC 00000000 7fffffff 00 80000001 7fffffff 00 00
NEGNC 00000000 7fffffff 11 7fffffff 80000001 00 00
NEGNC 00000001 7fffffff 00 80000001 7fffffff 00 00
NEGNC 00000001 7fffffff 11 7fffffff 80000001 00 00
NEGNC 00000002 7fffffff 00 80000001 7fffffff 00 00
NEGNC 00000002 7fffffff 11 7fffffff 80000001 00 00
NEGNC 7fffffff 7fffffff 00 80000001 7fffffff 00 00
NEGNC 7fffffff 7fffffff 11 7fffffff 80000001 00 00
NEGNC 80000000 7fffffff 00 80000001 7fffffff 00 00
NEGNC 80000000 7fffffff 11 7fffffff 80000001 00 00
NEGNC 80000001 7fffffff 00 80000001 7fffffff 00 00
NEGNC 80000001 7fffffff 11 7fffffff 80000001 00 00
NEGNC fffffffe 7fffffff 00 80000001 7fffffff 00 00
NEGNC fffffffe 7fffffff 11 7fffffff 80000001 00 00
NEGNC ffffffff 7fffffff 00 80000001 7fffffff 00 00
NEGNC ffffffff 7fffffff 11 7fffffff 80000001 00 00
NEGNC 00000000 80000001 00 7fffffff 80000001 01 01
NEGNC 00000000 80000001 11 80000001 7fffffff 01 01
NEGNC 00000001 80000001 00 7fffffff 80000001 01 01
NEGNC 00000001 80000001 11 80000001 7fffffff 01 01
NEGNC 00000002 80000001 00 7fffffff 80000001 01 01
NEGNC 00000002 80000001 11 80000001 7fffffff 01 01
NEGNC 7fffffff 80000001 00 7fffffff 80000001 01 01
NEGNC 7fffffff 80000001 11 80000001 7fffffff 01 01
NEGNC 80000000 80000001 00 7fffffff 80000001 01 01
NEGNC 80000000 80000001 11 80000001 7fffffff 01 01
NEGNC 80000001 80000001 00 7fffffff 80000001 01 01
NEGNC 80000001 80000001 11 80000001 7fffffff 01 01
NEGNC fffffffe 80000001 00 7fffffff 80000001 01 01
NEGNC fffffffe 80000001 11 80000001 7fffffff 01 01
NEGNC ffffffff 80000001 00 7fffffff 80000001 01 01
NEGNC ffffffff 80000001 11 80000001 7fffffff 01 01
NEGNC 00000000 fffffffe 00 00000002 fffffffe 01 01
NEGNC 00000000 fffffffe 11 fffffffe 00000002 01 01
NEGNC 00000001 fffffffe 00 00000002 fffffffe 01 01
NEGNC 00000001 fffffffe 11 fffffffe 00000002 01 01
NEGNC 00000002 fffffffe 00 00000002 fffffffe 01 01
NEGNC 00000002 fffffffe 11 fffffffe 00000002 01 01
NEGNC 7fffffff fffffffe 00 00000002 fffffffe 01 01
NEGNC 7fffffff fffffffe 11 fffffffe 00000002 01 01
NEGNC 80000000 fffffffe 00 00000002 fffffffe 01 01
NEGNC 80000000 fffffffe 11 fffffffe 00000002 01 01
NEGNC 80000001 fffffffe 00 00000002 fffffffe 01 01
NEGNC 80000001 fffffffe 11 fffffffe 00000002 01 01
NEGNC fffffffe fffffffe 00 00000002 fffffffe 01 01
NEGNC fffffffe fffffffe 11 fffffffe 00000002 01 01
NEGNC ffffffff fffffffe 00 00000002 fffffffe 01 01
NEGNC ffffffff fffffffe 11 fffffffe 00000002 01 01
NEGNC 00000000 ffffffff 00 00000001 ffffffff 01 01
NEGNC 00000000 ffffffff 11 ffffffff 00000001 01 01
NEGNC 00000001 ffffffff 00 00000001 ffffffff 01 01
NEGNC 00000001 ffffffff 11 ffffffff 00000001 01 01
NEGNC 00000002 ffffffff 00 00000001 ffffffff 01 01
NEGNC 00000002 ffffffff 11 ffffffff 00000001 01 01
NEGNC 7fffffff ffffffff 00 00000001 ffffffff 01 01
NEGNC 7fffffff ffffffff 11 ffffffff 00000001 01 01
NEGNC 80000000 ffffffff 00 00000001 ffffffff 01 01
NEGNC 80000000 ffffffff 11 ffffffff 00000001 01 01
NEGNC 80000001 ffffffff 00 00000001 ffffffff 01 01
NEGNC 80000001 ffffffff 11 ffffffff 00000001 01 01
NEGNC fffffffe ffffffff 00 00000001 ffffffff 01 01
NEGNC fffffffe ffffffff 11 ffffffff 00000001 01 01
NEGNC ffffffff ffffffff 00 00000001 ffffffff 01 01
NEGNC ffffffff ffffffff 11 ffffffff 00000001 01 01
CMPSUB 00000000 00000000 00 00000000 00000000 11 1
CMPSUB 00000000 00000000 10 00000000 00000000 11 1
CMPSUB 00000001 00000000 00 00000001 00000001 01 0
CMPSUB 80000001 00000000 10 80000001 80000001 01 0
CMPSUB 80000001 00000000 11 80000001 80000001 01 0
CMPSUB ffffffff 00000000 11 ffffffff ffffffff 01 0
CMPSUB 00000000 00000001 00 00000000 00000000 10 0
CMPSUB 00000000 00000001 10 00000000 00000000 10 0
CMPSUB 00000000 00000001 01 00000000 00000000 10 00
CMPSUB 00000000 00000001 11 00000000 00000000 10 00
CMPSUB 00000001 00000001 01 00000000 00000000 11 1
CMPSUB 00000002 00000001 00 00000001 00000001 01 0
CMPSUB 00000002 00000001 10 00000001 00000001 01 0
CMPSUB 00000002 00000001 01 00000001 00000001 01 0
CMPSUB 00000002 00000001 11 00000001 00000001 01 0
CMPSUB 7fffffff 00000001 11 7ffffffe 7ffffffe 01 0
CMPSUB 80000001 00000001 10 80000000 80000000 01 0
CMPSUB 80000001 00000001 11 80000000 80000000 01 0
CMPSUB fffffffe 00000001 10 fffffffd fffffffd 01 0
CMPSUB fffffffe 00000001 01 fffffffd fffffffd 01 0
CMPSUB ffffffff 00000001 10 fffffffe fffffffe 01 0
CMPSUB ffffffff 00000001 01 fffffffe fffffffe 01 0
CMPSUB ffffffff 00000001 11 fffffffe fffffffe 01 0
CMPSUB 00000000 00000002 00 00000000 00000000 10 00
CMPSUB 00000000 00000002 10 00000000 00000000 10 0
CMPSUB 00000000 00000002 01 00000000 00000000 10 00
CMPSUB 00000000 00000002 11 00000000 00000000 10 0
CMPSUB 80000001 00000002 11 7fffffff 7fffffff 01 0
CMPSUB 00000000 7fffffff 00 00000000 00000000 10 00
CMPSUB 00000000 7fffffff 10 00000000 00000000 10 00
CMPSUB 00000000 7fffffff 01 00000000 00000000 10 00
CMPSUB 00000000 7fffffff 11 00000000 00000000 10 00
CMPSUB 7fffffff 7fffffff 00 00000000 00000000 11 1
CMPSUB 7fffffff 7fffffff 10 00000000 00000000 11 1
CMPSUB 7fffffff 7fffffff 01 00000000 00000000 11 1
CMPSUB 7fffffff 7fffffff 11 00000000 00000000 11 1
CMPSUB 80000000 7fffffff 10 00000001 00000001 01 0
CMPSUB 80000000 7fffffff 01 00000001 00000001 01 0
CMPSUB 80000000 7fffffff 11 00000001 00000001 01 0
CMPSUB 80000001 7fffffff 11 00000002 00000002 01 0
CMPSUB fffffffe 7fffffff 00 7fffffff 7fffffff 01 0
CMPSUB fffffffe 7fffffff 10 7fffffff 7fffffff 01 0
CMPSUB fffffffe 7fffffff 11 7fffffff 7fffffff 01 0
CMPSUB ffffffff 7fffffff 00 80000000 80000000 01 0
CMPSUB 00000000 80000000 00 00000000 00000000 10 0
CMPSUB 00000000 80000000 10 00000000 00000000 10 0
CMPSUB 00000000 80000000 01 00000000 00000000 10 00
CMPSUB 00000000 80000000 11 00000000 00000000 10 0
CMPSUB 00000001 80000000 00 00000001 00000001 00 0
CMPSUB 00000001 80000000 10 00000001 00000001 00 0
CMPSUB 00000001 80000000 11 00000001 00000001 00 0
CMPSUB 00000002 80000000 11 00000002 00000002 00 0
CMPSUB 7fffffff 80000000 00 7fffffff 7fffffff 00 0
CMPSUB 7fffffff 80000000 10 7fffffff 7fffffff 00 0
CMPSUB 7fffffff 80000000 11 7fffffff 7fffffff 00 0
CMPSUB fffffffe 80000000 01 7ffffffe 7ffffffe 01 0
CMPSUB fffffffe 80000000 11 7ffffffe 7ffffffe 01 0
CMPSUB ffffffff 80000000 00 7fffffff 7fffffff 01 0
CMPSUB ffffffff 80000000 10 7fffffff 7fffffff 01 0
CMPSUB ffffffff 80000000 01 7fffffff 7fffffff 01 0
CMPSUB ffffffff 80000000 11 7fffffff 7fffffff 01 0
CMPSUB 00000000 80000001 00 00000000 00000000 10 00
CMPSUB 00000000 80000001 10 00000000 00000000 10 00
CMPSUB 00000000 80000001 01 00000000 00000000 10 00
CMPSUB 00000000 80000001 11 00000000 00000000 10 0
CMPSUB 00000001 80000001 00 00000001 00000001 00 0
CMPSUB 00000001 80000001 01 00000001 00000001 00 0
CMPSUB 00000002 80000001 00 00000002 00000002 00 0
CMPSUB 00000002 80000001 01 00000002 00000002 00 0
CMPSUB 7fffffff 80000001 00 7fffffff 7fffffff 00 0
CMPSUB 80000000 80000001 11 80000000 80000000 00 0
CMPSUB 00000000 fffffffe 00 00000000 00000000 10 00
CMPSUB 00000000 fffffffe 10 00000000 00000000 10 00
CMPSUB 00000000 fffffffe 01 00000000 00000000 10 00
CMPSUB 00000000 fffffffe 11 00000000 00000000 10 00
CMPSUB 00000001 fffffffe 00 00000001 00000001 00 0
CMPSUB 00000001 fffffffe 01 00000001 00000001 00 0
CMPSUB 00000002 fffffffe 00 00000002 00000002 00 0
CMPSUB 00000002 fffffffe 01 00000002 00000002 00 0
CMPSUB 7fffffff fffffffe 00 7fffffff 7fffffff 00 0
CMPSUB 7fffffff fffffffe 01 7fffffff 7fffffff 00 0
CMPSUB 7fffffff fffffffe 11 7fffffff 7fffffff 00 0
CMPSUB 80000000 fffffffe 10 80000000 80000000 00 0
CMPSUB 80000000 fffffffe 11 80000000 80000000 00 0
CMPSUB 80000001 fffffffe 00 80000001 80000001 00 0
CMPSUB 80000001 fffffffe 10 80000001 80000001 00 0
CMPSUB 80000001 fffffffe 01 80000001 80000001 00 0
CMPSUB 80000001 fffffffe 11 80000001 80000001 00 0
CMPSUB 00000000 ffffffff 00 00000000 00000000 10 0
CMPSUB 00000000 ffffffff 10 00000000 00000000 10 0
CMPSUB 00000000 ffffffff 01 00000000 00000000 10 0
CMPSUB 00000000 ffffffff 11 00000000 00000000 10 0
CMPSUB 00000001 ffffffff 00 00000001 00000001 00 0
CMPSUB 00000001 ffffffff 10 00000001 00000001 00 0
CMPSUB 00000001 ffffffff 01 00000001 00000001 00 0
CMPSUB 00000002 ffffffff 00 00000002 00000002 00 0
CMPSUB 00000002 ffffffff 10 00000002 00000002 00 0
CMPSUB 00000002 ffffffff 01 00000002 00000002 00 0
CMPSUB 00000002 ffffffff 11 00000002 00000002 00 0
CMPSUB 7fffffff ffffffff 00 7fffffff 7fffffff 00 0
CMPSUB 7fffffff ffffffff 10 7fffffff 7fffffff 00 0
CMPSUB 7fffffff ffffffff 01 7fffffff 7fffffff 00 0
CMPSUB 7fffffff ffffffff 11 7fffffff 7fffffff 00 0
CMPSUB 80000000 ffffffff 10 80000000 80000000 00 0
CMPSUB 80000000 ffffffff 11 80000000 80000000 00 0
CMPSUB 80000001 ffffffff 00 80000001 80000001 00 0
CMPSUB 80000001 ffffffff 01 80000001 80000001 00 0
CMPSUB 80000001 ffffffff 11 80000001 80000001 00 0
CMPSUB fffffffe ffffffff 00 fffffffe fffffffe 00 0
CMPSUB fffffffe ffffffff 11 fffffffe fffffffe 00 0
CMPSUB ffffffff ffffffff 00 00000000 00000000 11 1
CMPSUB ffffffff ffffffff 01 00000000 00000000 11 1
Opcode DJNZ not found on both tests
Opcode TJNZ not found on both tests
Opcode TJZ not found on both tests
Opcode WAITPEQ not found on both tests
Opcode WAITPNE not found on both tests
Opcode WAITCNT not found on both tests
Opcode WAITVID not found on both tests
