short line: Testbench for P8AX32

Opcode RDBYTE not found on both tests
Opcode RDWORD not found on both tests
Opcode RDLONG not found on both tests
Opcode HUBOP not found on both tests
Opcode UNDEF0 not found on both tests
Opcode UNDEF1 not found on both tests
Opcode UNDEF2 not found on both tests
Opcode UNDEF3 not found on both tests
SUMC 80000000 80000000 11 00000000 00000000 11 10
SUMC 80000001 80000000 01 00000001 00000001 01 00
SUMC 80000001 80000000 11 00000001 00000001 01 00
SUMC fffffffe 80000000 01 7ffffffe 7ffffffe 01 00
SUMC fffffffe 80000000 11 7ffffffe 7ffffffe 01 00
SUMC ffffffff 80000000 01 7fffffff 7fffffff 01 00
SUMC ffffffff 80000000 11 7fffffff 7fffffff 01 00
SUMNC 00000000 80000000 00 80000000 80000000 00 01
SUMNC 00000000 80000000 10 80000000 80000000 00 01
SUMNC 00000001 80000000 00 80000001 80000001 00 01
SUMNC 00000001 80000000 10 80000001 80000001 00 01
SUMNC 00000002 80000000 00 80000002 80000002 00 01
SUMNC 00000002 80000000 10 80000002 80000002 00 01
SUMNC 7fffffff 80000000 00 ffffffff ffffffff 00 01
SUMNC 7fffffff 80000000 10 ffffffff ffffffff 00 01
SUMNC 80000000 80000000 00 00000000 00000000 11 10
SUMNC 80000000 80000000 10 00000000 00000000 11 10
SUMNC 80000001 80000000 00 00000001 00000001 01 00
SUMNC 80000001 80000000 10 00000001 00000001 01 00
SUMNC fffffffe 80000000 00 7ffffffe 7ffffffe 01 00
SUMNC fffffffe 80000000 10 7ffffffe 7ffffffe 01 00
SUMNC ffffffff 80000000 00 7fffffff 7fffffff 01 00
SUMNC ffffffff 80000000 10 7fffffff 7fffffff 01 00
SUMZ 00000000 80000000 10 80000000 80000000 00 01
SUMZ 00000000 80000000 11 80000000 80000000 00 01
SUMZ 00000001 80000000 10 80000001 80000001 00 01
SUMZ 00000001 80000000 11 80000001 80000001 00 01
SUMZ 00000002 80000000 10 80000002 80000002 00 01
SUMZ 00000002 80000000 11 80000002 80000002 00 01
SUMZ 7fffffff 80000000 10 ffffffff ffffffff 00 01
SUMZ 7fffffff 80000000 11 ffffffff ffffffff 00 01
SUMZ 80000000 80000000 10 00000000 00000000 11 10
SUMZ 80000000 80000000 11 00000000 00000000 11 10
SUMZ 80000001 80000000 10 00000001 00000001 01 00
SUMZ 80000001 80000000 11 00000001 00000001 01 00
SUMZ fffffffe 80000000 10 7ffffffe 7ffffffe 01 00
SUMZ fffffffe 80000000 11 7ffffffe 7ffffffe 01 00
SUMZ ffffffff 80000000 10 7fffffff 7fffffff 01 00
SUMZ ffffffff 80000000 11 7fffffff 7fffffff 01 00
SUMNZ 00000001 00000000 00 00000000 00000001 10 00
SUMNZ 00000001 00000000 10 00000000 00000001 10 00
SUMNZ 00000001 00000000 01 00000000 00000001 10 00
SUMNZ 00000001 00000000 11 00000000 00000001 10 00
SUMNZ 00000002 00000000 00 00000000 00000002 10 00
SUMNZ 00000002 00000000 10 00000000 00000002 10 00
SUMNZ 00000002 00000000 01 00000000 00000002 10 00
SUMNZ 00000002 00000000 11 00000000 00000002 10 00
