ROR   ---Q---- CZ
18 09 fffffffe 10
19 09 fffffffe 10
1a 09 fffffffe 10
1b 09 fffffffe 10
1c 09 ffffffff 10
1d 09 ffffffff 10
1e 09 ffffffff 10
1f 09 ffffffff 10
20 09 00000000 01
21 09 00000000 01
22 09 00000000 01
23 09 00000000 01
24 09 00000002 00
25 09 00000002 00
26 09 00000002 00
27 09 00000002 00
28 09 00000004 00
29 09 00000004 00
2a 09 00000004 00
2b 09 00000004 00
2c 09 fffffffe 00
2d 09 fffffffe 00
2e 09 fffffffe 00
2f 09 fffffffe 00
30 09 00000001 10
31 09 00000001 10
32 09 00000001 10
33 09 00000001 10
34 09 00000003 10
35 09 00000003 10
36 09 00000003 10
37 09 00000003 10
38 09 fffffffd 10
39 09 fffffffd 10
3a 09 fffffffd 10
3b 09 fffffffd 10
3c 09 ffffffff 10
3d 09 ffffffff 10
3e 09 ffffffff 10
3f 09 ffffffff 10
40 09 00000000 01
41 09 00000000 01
42 09 00000000 01
43 09 00000000 01
44 09 00000004 00
45 09 00000004 00
46 09 00000004 00
47 09 00000004 00
48 09 00000008 00
49 09 00000008 00
4a 09 00000008 00
4b 09 00000008 00
4c 09 fffffffd 00
4d 09 fffffffd 00
4e 09 fffffffd 00
4f 09 fffffffd 00
50 09 00000002 10
51 09 00000002 10
52 09 00000002 10
53 09 00000002 10
54 09 00000006 10
55 09 00000006 10
56 09 00000006 10
57 09 00000006 10
58 09 fffffffb 10
59 09 fffffffb 10
5a 09 fffffffb 10
5b 09 fffffffb 10
5c 09 ffffffff 10
5d 09 ffffffff 10
5e 09 ffffffff 10
5f 09 ffffffff 10
60 09 00000000 01
61 09 00000000 01
62 09 00000000 01
63 09 00000000 01
64 09 80000000 00
65 09 80000000 00
66 09 80000000 00
67 09 80000000 00
68 09 00000001 00
69 09 00000001 00
6a 09 00000001 00
6b 09 00000001 00
6c 09 bfffffff 00
6d 09 bfffffff 00
6e 09 bfffffff 00
6f 09 bfffffff 00
70 09 40000000 10
71 09 40000000 10
72 09 40000000 10
73 09 40000000 10
74 09 c0000000 10
75 09 c0000000 10
76 09 c0000000 10
77 09 c0000000 10
78 09 7fffffff 10
79 09 7fffffff 10
7a 09 7fffffff 10
7b 09 7fffffff 10
7c 09 ffffffff 10
7d 09 ffffffff 10
7e 09 ffffffff 10
7f 09 ffffffff 10
80 09 00000000 01
81 09 00000000 01
82 09 00000000 01
83 09 00000000 01
84 09 00000001 00
85 09 00000001 00
86 09 00000001 00
87 09 00000001 00
88 09 00000002 00
89 09 00000002 00
8a 09 00000002 00
8b 09 00000002 00
8c 09 7fffffff 00
8d 09 7fffffff 00
8e 09 7fffffff 00
8f 09 7fffffff 00
90 09 80000000 10
91 09 80000000 10
92 09 80000000 10
93 09 80000000 10
94 09 80000001 10
95 09 80000001 10
96 09 80000001 10
97 09 80000001 10
98 09 fffffffe 10
99 09 fffffffe 10
9a 09 fffffffe 10
9b 09 fffffffe 10
9c 09 ffffffff 10
9d 09 ffffffff 10
9e 09 ffffffff 10
9f 09 ffffffff 10
a0 09 00000000 01
a1 09 00000000 01
a2 09 00000000 01
a3 09 00000000 01
a4 09 00000002 00
a5 09 00000002 00
a6 09 00000002 00
a7 09 00000002 00
a8 09 00000004 00
a9 09 00000004 00
aa 09 00000004 00
ab 09 00000004 00
ac 09 fffffffe 00
ad 09 fffffffe 00
ae 09 fffffffe 00
af 09 fffffffe 00
b0 09 00000001 10
b1 09 00000001 10
b2 09 00000001 10
b3 09 00000001 10
b4 09 00000003 10
b5 09 00000003 10
b6 09 00000003 10
b7 09 00000003 10
b8 09 fffffffd 10
b9 09 fffffffd 10
ba 09 fffffffd 10
bb 09 fffffffd 10
bc 09 ffffffff 10
bd 09 ffffffff 10
be 09 ffffffff 10
bf 09 ffffffff 10
c0 09 00000000 01
c1 09 00000000 01
c2 09 00000000 01
c3 09 00000000 01
c4 09 40000000 00
c5 09 40000000 00
c6 09 40000000 00
c7 09 40000000 00
c8 09 80000000 00
c9 09 80000000 00
ca 09 80000000 00
cb 09 80000000 00
cc 09 dfffffff 00
