ROR   ---Q---- CZ
2e 14 7ffffe01 00
2f 14 7ffffe01 00
30 14 80000001 00
31 14 80000001 00
32 14 80000001 00
33 14 80000001 00
34 14 80000001 00
35 14 80000001 00
36 14 80000001 00
37 14 80000001 00
38 14 fffffe01 00
39 14 fffffe01 00
3a 14 fffffe01 00
3b 14 fffffe01 00
3c 14 fffffe01 00
3d 14 fffffe01 00
3e 14 fffffe01 00
3f 14 fffffe01 00
40 14 00000002 10
41 14 00000002 10
42 14 00000002 10
43 14 00000002 10
44 14 00000002 10
45 14 00000002 10
46 14 00000002 10
47 14 00000002 10
48 14 00000002 00
49 14 00000002 00
4a 14 00000002 00
4b 14 00000002 00
4c 14 7ffffe02 00
4d 14 7ffffe02 00
4e 14 7ffffe02 00
4f 14 7ffffe02 00
50 14 80000002 00
51 14 80000002 00
52 14 80000002 00
53 14 80000002 00
54 14 80000002 00
55 14 80000002 00
56 14 80000002 00
57 14 80000002 00
58 14 fffffe02 00
59 14 fffffe02 00
5a 14 fffffe02 00
5b 14 fffffe02 00
5c 14 fffffe02 00
5d 14 fffffe02 00
5e 14 fffffe02 00
5f 14 fffffe02 00
60 14 000001ff 10
61 14 000001ff 10
62 14 000001ff 10
63 14 000001ff 10
64 14 000001ff 10
65 14 000001ff 10
66 14 000001ff 10
67 14 000001ff 10
68 14 000001ff 10
69 14 000001ff 10
6a 14 000001ff 10
6b 14 000001ff 10
6c 14 7fffffff 00
6d 14 7fffffff 00
6e 14 7fffffff 00
6f 14 7fffffff 00
70 14 800001ff 00
71 14 800001ff 00
72 14 800001ff 00
73 14 800001ff 00
74 14 800001ff 00
75 14 800001ff 00
76 14 800001ff 00
77 14 800001ff 00
78 14 ffffffff 00
79 14 ffffffff 00
7a 14 ffffffff 00
7b 14 ffffffff 00
7c 14 ffffffff 00
7d 14 ffffffff 00
7e 14 ffffffff 00
7f 14 ffffffff 00
80 14 00000000 11
81 14 00000000 11
82 14 00000000 11
83 14 00000000 11
84 14 00000000 11
85 14 00000000 11
86 14 00000000 11
87 14 00000000 11
88 14 00000000 11
89 14 00000000 11
8a 14 00000000 11
8b 14 00000000 11
8c 14 7ffffe00 10
8d 14 7ffffe00 10
8e 14 7ffffe00 10
8f 14 7ffffe00 10
90 14 80000000 00
91 14 80000000 00
92 14 80000000 00
93 14 80000000 00
94 14 80000000 00
95 14 80000000 00
96 14 80000000 00
97 14 80000000 00
98 14 fffffe00 00
99 14 fffffe00 00
9a 14 fffffe00 00
9b 14 fffffe00 00
9c 14 fffffe00 00
9d 14 fffffe00 00
9e 14 fffffe00 00
9f 14 fffffe00 00
a0 14 00000001 10
a1 14 00000001 10
a2 14 00000001 10
a3 14 00000001 10
a4 14 00000001 10
a5 14 00000001 10
a6 14 00000001 10
a7 14 00000001 10
a8 14 00000001 10
a9 14 00000001 10
aa 14 00000001 10
ab 14 00000001 10
ac 14 7ffffe01 10
ad 14 7ffffe01 10
ae 14 7ffffe01 10
af 14 7ffffe01 10
b0 14 80000001 10
b1 14 80000001 10
b2 14 80000001 10
b3 14 80000001 10
b4 14 80000001 00
b5 14 80000001 00
b6 14 80000001 00
b7 14 80000001 00
b8 14 fffffe01 00
b9 14 fffffe01 00
ba 14 fffffe01 00
bb 14 fffffe01 00
bc 14 fffffe01 00
bd 14 fffffe01 00
be 14 fffffe01 00
bf 14 fffffe01 00
c0 14 000001fe 10
c1 14 000001fe 10
c2 14 000001fe 10
c3 14 000001fe 10
c4 14 000001fe 10
c5 14 000001fe 10
c6 14 000001fe 10
c7 14 000001fe 10
c8 14 000001fe 10
c9 14 000001fe 10
ca 14 000001fe 10
cb 14 000001fe 10
cc 14 7ffffffe 10
cd 14 7ffffffe 10
ce 14 7ffffffe 10
cf 14 7ffffffe 10
d0 14 800001fe 10
d1 14 800001fe 10
d2 14 800001fe 10
d3 14 800001fe 10
d4 14 800001fe 10
d5 14 800001fe 10
d6 14 800001fe 10
d7 14 800001fe 10
d8 14 fffffffe 00
d9 14 fffffffe 00
da 14 fffffffe 00
db 14 fffffffe 00
dc 14 fffffffe 00
dd 14 fffffffe 00
de 14 fffffffe 00
df 14 fffffffe 00
e0 14 000001ff 10
e1 14 000001ff 10
e2 14 000001ff 10
e3 14 000001ff 10
e4 14 000001ff 10
e5 14 000001ff 10
e6 14 000001ff 10
e7 14 000001ff 10
e8 14 000001ff 10
e9 14 000001ff 10
ea 14 000001ff 10
eb 14 000001ff 10
ec 14 7fffffff 10
ed 14 7fffffff 10
ee 14 7fffffff 10
ef 14 7fffffff 10
f0 14 800001ff 10
f1 14 800001ff 10
f2 14 800001ff 10
f3 14 800001ff 10
f4 14 800001ff 10
f5 14 800001ff 10
f6 14 800001ff 10
f7 14 800001ff 10
f8 14 ffffffff 10
f9 14 ffffffff 10
fa 14 ffffffff 10
fb 14 ffffffff 10
fc 14 ffffffff 00
fd 14 ffffffff 00
fe 14 ffffffff 00
ff 14 ffffffff 00
MOVD  ---Q---- CZ
00 15 00000000 01
01 15 00000000 01
02 15 00000000 01
03 15 00000000 01
04 15 00000001 00
05 15 00000001 00
06 15 00000001 00
07 15 00000001 00
08 15 00000002 00
09 15 00000002 00
0a 15 00000002 00
0b 15 00000002 00
0c 15 7ffc01ff 00
0d 15 7ffc01ff 00
0e 15 7ffc01ff 00
0f 15 7ffc01ff 00
10 15 80000000 00
11 15 80000000 00
12 15 80000000 00
13 15 80000000 00
14 15 80000001 00
15 15 80000001 00
16 15 80000001 00
17 15 80000001 00
18 15 fffc01fe 00
19 15 fffc01fe 00
1a 15 fffc01fe 00
1b 15 fffc01fe 00
1c 15 fffc01ff 00
1d 15 fffc01ff 00
1e 15 fffc01ff 00
1f 15 fffc01ff 00
20 15 00000200 10
21 15 00000200 10
22 15 00000200 10
23 15 00000200 10
24 15 00000201 00
25 15 00000201 00
26 15 00000201 00
27 15 00000201 00
28 15 00000202 00
29 15 00000202 00
2a 15 00000202 00
2b 15 00000202 00
2c 15 7ffc03ff 00
2d 15 7ffc03ff 00
2e 15 7ffc03ff 00
2f 15 7ffc03ff 00
30 15 80000200 00
31 15 80000200 00
32 15 80000200 00
33 15 80000200 00
34 15 80000201 00
35 15 80000201 00
36 15 80000201 00
37 15 80000201 00
38 15 fffc03fe 00
39 15 fffc03fe 00
3a 15 fffc03fe 00
3b 15 fffc03fe 00
3c 15 fffc03ff 00
3d 15 fffc03ff 00
3e 15 fffc03ff 00
3f 15 fffc03ff 00
40 15 00000400 10
41 15 00000400 10
42 15 00000400 10
43 15 00000400 10
44 15 00000401 10
45 15 00000401 10
46 15 00000401 10
47 15 00000401 10
48 15 00000402 00
49 15 00000402 00
4a 15 00000402 00
4b 15 00000402 00
4c 15 7ffc05ff 00
4d 15 7ffc05ff 00
4e 15 7ffc05ff 00
4f 15 7ffc05ff 00
50 15 80000400 00
51 15 80000400 00
52 15 80000400 00
53 15 80000400 00
54 15 80000401 00
55 15 80000401 00
56 15 80000401 00
57 15 80000401 00
58 15 fffc05fe 00
59 15 fffc05fe 00
5a 15 fffc05fe 00
5b 15 fffc05fe 00
5c 15 fffc05ff 00
5d 15 fffc05ff 00
5e 15 fffc05ff 00
5f 15 fffc05ff 00
60 15 0003fe00 10
61 15 0003fe00 10
62 15 0003fe00 10
63 15 0003fe00 10
64 15 0003fe01 10
65 15 0003fe01 10
66 15 0003fe01 10
67 15 0003fe01 10
68 15 0003fe02 10
69 15 0003fe02 10
6a 15 0003fe02 10
6b 15 0003fe02 10
6c 15 7fffffff 00
6d 15 7fffffff 00
6e 15 7fffffff 00
6f 15 7fffffff 00
70 15 8003fe00 00
71 15 8003fe00 00
72 15 8003fe00 00
73 15 8003fe00 00
74 15 8003fe01 00
75 15 8003fe01 00
76 15 8003fe01 00
77 15 8003fe01 00
78 15 fffffffe 00
79 15 fffffffe 00
7a 15 fffffffe 00
7b 15 fffffffe 00
7c 15 ffffffff 00
7d 15 ffffffff 00
7e 15 ffffffff 00
7f 15 ffffffff 00
80 15 00000000 11
81 15 00000000 11
82 15 00000000 11
83 15 00000000 11
84 15 00000001 10
85 15 00000001 10
86 15 00000001 10
87 15 00000001 10
88 15 00000002 10
89 15 00000002 10
8a 15 00000002 10
8b 15 00000002 10
8c 15 7ffc01ff 10
8d 15 7ffc01ff 10
8e 15 7ffc01ff 10
8f 15 7ffc01ff 10
90 15 80000000 00
91 15 80000000 00
92 15 80000000 00
93 15 80000000 00
94 15 80000001 00
95 15 80000001 00
96 15 80000001 00
97 15 80000001 00
98 15 fffc01fe 00
99 15 fffc01fe 00
9a 15 fffc01fe 00
9b 15 fffc01fe 00
9c 15 fffc01ff 00
9d 15 fffc01ff 00
9e 15 fffc01ff 00
9f 15 fffc01ff 00
a0 15 00000200 10
a1 15 00000200 10
a2 15 00000200 10
a3 15 00000200 10
a4 15 00000201 10
a5 15 00000201 10
a6 15 00000201 10
a7 15 00000201 10
a8 15 00000202 10
a9 15 00000202 10
aa 15 00000202 10
ab 15 00000202 10
ac 15 7ffc03ff 10
ad 15 7ffc03ff 10
ae 15 7ffc03ff 10
af 15 7ffc03ff 10
b0 15 80000200 10
b1 15 80000200 10
b2 15 80000200 10
b3 15 80000200 10
b4 15 80000201 00
b5 15 80000201 00
b6 15 80000201 00
b7 15 80000201 00
b8 15 fffc03fe 00
b9 15 fffc03fe 00
ba 15 fffc03fe 00
bb 15 fffc03fe 00
bc 15 fffc03ff 00
bd 15 fffc03ff 00
be 15 fffc03ff 00
bf 15 fffc03ff 00
c0 15 0003fc00 10
c1 15 0003fc00 10
c2 15 0003fc00 10
c3 15 0003fc00 10
c4 15 0003fc01 10
c5 15 0003fc01 10
c6 15 0003fc01 10
c7 15 0003fc01 10
c8 15 0003fc02 10
c9 15 0003fc02 10
ca 15 0003fc02 10
cb 15 0003fc02 10
cc 15 7ffffdff 10
cd 15 7ffffdff 10
ce 15 7ffffdff 10
cf 15 7ffffdff 10
d0 15 8003fc00 10
d1 15 8003fc00 10
d2 15 8003fc00 10
d3 15 8003fc00 10
d4 15 8003fc01 10
d5 15 8003fc01 10
d6 15 8003fc01 10
d7 15 8003fc01 10
d8 15 fffffdfe 00
d9 15 fffffdfe 00
da 15 fffffdfe 00
db 15 fffffdfe 00
dc 15 fffffdff 00
dd 15 fffffdff 00
de 15 fffffdff 00
df 15 fffffdff 00
e0 15 0003fe00 10
e1 15 0003fe00 10
e2 15 0003fe00 10
e3 15 0003fe00 10
e4 15 0003fe01 10
e5 15 0003fe01 10
e6 15 0003fe01 10
e7 15 0003fe01 10
e8 15 0003fe02 10
e9 15 0003fe02 10
ea 15 0003fe02 10
eb 15 0003fe02 10
ec 15 7fffffff 10
ed 15 7fffffff 10
ee 15 7fffffff 10
ef 15 7fffffff 10
f0 15 8003fe00 10
f1 15 8003fe00 10
f2 15 8003fe00 10
f3 15 8003fe00 10
f4 15 8003fe01 10
f5 15 8003fe01 10
f6 15 8003fe01 10
f7 15 8003fe01 10
f8 15 fffffffe 10
f9 15 fffffffe 10
fa 15 fffffffe 10
fb 15 fffffffe 10
fc 15 ffffffff 00
fd 15 ffffffff 00
fe 15 ffffffff 00
ff 15 ffffffff 00
MOVI  ---Q---- CZ
00 16 00000000 01
01 16 00000000 01
02 16 00000000 01
03 16 00000000 01
04 16 00000001 00
05 16 00000001 00
06 16 00000001 00
07 16 00000001 00
08 16 00000002 00
09 16 00000002 00
0a 16 00000002 00
0b 16 00000002 00
0c 16 007fffff 00
0d 16 007fffff 00
0e 16 007fffff 00
0f 16 007fffff 00
10 16 00000000 01
11 16 00000000 01
12 16 00000000 01
13 16 00000000 01
14 16 00000001 00
15 16 00000001 00
16 16 00000001 00
17 16 00000001 00
18 16 007ffffe 00
19 16 007ffffe 00
1a 16 007ffffe 00
1b 16 007ffffe 00
1c 16 007fffff 00
1d 16 007fffff 00
1e 16 007fffff 00
1f 16 007fffff 00
20 16 00800000 10
21 16 00800000 10
22 16 00800000 10
23 16 00800000 10
24 16 00800001 00
25 16 00800001 00
26 16 00800001 00
27 16 00800001 00
28 16 00800002 00
29 16 00800002 00
2a 16 00800002 00
2b 16 00800002 00
2c 16 00ffffff 00
2d 16 00ffffff 00
2e 16 00ffffff 00
2f 16 00ffffff 00
30 16 00800000 00
31 16 00800000 00
32 16 00800000 00
33 16 00800000 00
34 16 00800001 00
35 16 00800001 00
36 16 00800001 00
37 16 00800001 00
38 16 00fffffe 00
39 16 00fffffe 00
3a 16 00fffffe 00
3b 16 00fffffe 00
3c 16 00ffffff 00
3d 16 00ffffff 00
3e 16 00ffffff 00
3f 16 00ffffff 00
40 16 01000000 10
41 16 01000000 10
42 16 01000000 10
43 16 01000000 10
44 16 01000001 10
45 16 01000001 10
46 16 01000001 10
47 16 01000001 10
48 16 01000002 00
49 16 01000002 00
4a 16 01000002 00
4b 16 01000002 00
4c 16 017fffff 00
4d 16 017fffff 00
4e 16 017fffff 00
4f 16 017fffff 00
50 16 01000000 00
51 16 01000000 00
52 16 01000000 00
53 16 01000000 00
54 16 01000001 00
55 16 01000001 00
56 16 01000001 00
57 16 01000001 00
58 16 017ffffe 00
59 16 017ffffe 00
5a 16 017ffffe 00
5b 16 017ffffe 00
5c 16 017fffff 00
5d 16 017fffff 00
5e 16 017fffff 00
5f 16 017fffff 00
60 16 ff800000 10
61 16 ff800000 10
62 16 ff800000 10
63 16 ff800000 10
64 16 ff800001 10
65 16 ff800001 10
66 16 ff800001 10
67 16 ff800001 10
68 16 ff800002 10
69 16 ff800002 10
6a 16 ff800002 10
6b 16 ff800002 10
6c 16 ffffffff 00
6d 16 ffffffff 00
6e 16 ffffffff 00
6f 16 ffffffff 00
70 16 ff800000 00
71 16 ff800000 00
72 16 ff800000 00
73 16 ff800000 00
74 16 ff800001 00
75 16 ff800001 00
76 16 ff800001 00
77 16 ff800001 00
78 16 fffffffe 00
79 16 fffffffe 00
7a 16 fffffffe 00
7b 16 fffffffe 00
7c 16 ffffffff 00
7d 16 ffffffff 00
7e 16 ffffffff 00
7f 16 ffffffff 00
80 16 00000000 11
81 16 00000000 11
82 16 00000000 11
83 16 00000000 11
84 16 00000001 10
85 16 00000001 10
86 16 00000001 10
87 16 00000001 10
88 16 00000002 10
89 16 00000002 10
8a 16 00000002 10
8b 16 00000002 10
8c 16 007fffff 10
8d 16 007fffff 10
8e 16 007fffff 10
8f 16 007fffff 10
90 16 00000000 01
91 16 00000000 01
92 16 00000000 01
93 16 00000000 01
94 16 00000001 00
95 16 00000001 00
96 16 00000001 00
97 16 00000001 00
98 16 007ffffe 00
99 16 007ffffe 00
9a 16 007ffffe 00
9b 16 007ffffe 00
9c 16 007fffff 00
9d 16 007fffff 00
9e 16 007fffff 00
9f 16 007fffff 00
a0 16 00800000 10
a1 16 00800000 10
a2 16 00800000 10
a3 16 00800000 10
a4 16 00800001 10
a5 16 00800001 10
a6 16 00800001 10
a7 16 00800001 10
a8 16 00800002 10
a9 16 00800002 10
aa 16 00800002 10
ab 16 00800002 10
ac 16 00ffffff 10
ad 16 00ffffff 10
ae 16 00ffffff 10
af 16 00ffffff 10
b0 16 00800000 10
b1 16 00800000 10
b2 16 00800000 10
b3 16 00800000 10
b4 16 00800001 00
b5 16 00800001 00
b6 16 00800001 00
b7 16 00800001 00
b8 16 00fffffe 00
b9 16 00fffffe 00
ba 16 00fffffe 00
bb 16 00fffffe 00
bc 16 00ffffff 00
bd 16 00ffffff 00
be 16 00ffffff 00
bf 16 00ffffff 00
c0 16 ff000000 10
c1 16 ff000000 10
c2 16 ff000000 10
c3 16 ff000000 10
c4 16 ff000001 10
c5 16 ff000001 10
c6 16 ff000001 10
c7 16 ff000001 10
c8 16 ff000002 10
c9 16 ff000002 10
ca 16 ff000002 10
cb 16 ff000002 10
cc 16 ff7fffff 10
cd 16 ff7fffff 10
ce 16 ff7fffff 10
cf 16 ff7fffff 10
d0 16 ff000000 10
d1 16 ff000000 10
d2 16 ff000000 10
d3 16 ff000000 10
d4 16 ff000001 10
d5 16 ff000001 10
d6 16 ff000001 10
d7 16 ff000001 10
d8 16 ff7ffffe 00
d9 16 ff7ffffe 00
da 16 ff7ffffe 00
db 16 ff7ffffe 00
dc 16 ff7fffff 00
dd 16 ff7fffff 00
de 16 ff7fffff 00
df 16 ff7fffff 00
e0 16 ff800000 10
e1 16 ff800000 10
e2 16 ff800000 10
e3 16 ff800000 10
e4 16 ff800001 10
e5 16 ff800001 10
e6 16 ff800001 10
e7 16 ff800001 10
e8 16 ff800002 10
e9 16 ff800002 10
ea 16 ff800002 10
eb 16 ff800002 10
ec 16 ffffffff 10
ed 16 ffffffff 10
ee 16 ffffffff 10
ef 16 ffffffff 10
f0 16 ff800000 10
f1 16 ff800000 10
f2 16 ff800000 10
f3 16 ff800000 10
f4 16 ff800001 10
f5 16 ff800001 10
f6 16 ff800001 10
f7 16 ff800001 10
f8 16 fffffffe 10
f9 16 fffffffe 10
fa 16 fffffffe 10
fb 16 fffffffe 10
fc 16 ffffffff 00
fd 16 ffffffff 00
fe 16 ffffffff 00
ff 16 ffffffff 00
AND   ---Q---- CZ
00 18 00000000 01
01 18 00000000 01
02 18 00000000 01
03 18 00000000 01
04 18 00000000 01
05 18 00000000 01
06 18 00000000 01
07 18 00000000 01
08 18 00000000 01
09 18 00000000 01
0a 18 00000000 01
0b 18 00000000 01
0c 18 00000000 01
0d 18 00000000 01
0e 18 00000000 01
0f 18 00000000 01
10 18 00000000 01
11 18 00000000 01
12 18 00000000 01
13 18 00000000 01
14 18 00000000 01
15 18 00000000 01
16 18 00000000 01
17 18 00000000 01
18 18 00000000 01
19 18 00000000 01
1a 18 00000000 01
1b 18 00000000 01
1c 18 00000000 01
1d 18 00000000 01
1e 18 00000000 01
1f 18 00000000 01
20 18 00000000 01
21 18 00000000 01
22 18 00000000 01
23 18 00000000 01
24 18 00000001 10
25 18 00000001 10
26 18 00000001 10
27 18 00000001 10
28 18 00000000 01
29 18 00000000 01
2a 18 00000000 01
2b 18 00000000 01
2c 18 00000001 10
2d 18 00000001 10
2e 18 00000001 10
2f 18 00000001 10
30 18 00000000 01
31 18 00000000 01
32 18 00000000 01
33 18 00000000 01
34 18 00000001 10
35 18 00000001 10
36 18 00000001 10
37 18 00000001 10
38 18 00000000 01
39 18 00000000 01
3a 18 00000000 01
3b 18 00000000 01
3c 18 00000001 10
3d 18 00000001 10
3e 18 00000001 10
3f 18 00000001 10
40 18 00000000 01
41 18 00000000 01
42 18 00000000 01
43 18 00000000 01
44 18 00000000 01
45 18 00000000 01
46 18 00000000 01
47 18 00000000 01
48 18 00000002 10
49 18 00000002 10
4a 18 00000002 10
4b 18 00000002 10
4c 18 00000002 10
4d 18 00000002 10
4e 18 00000002 10
4f 18 00000002 10
50 18 00000000 01
51 18 00000000 01
52 18 00000000 01
53 18 00000000 01
54 18 00000000 01
55 18 00000000 01
56 18 00000000 01
57 18 00000000 01
58 18 00000002 10
59 18 00000002 10
5a 18 00000002 10
5b 18 00000002 10
5c 18 00000002 10
5d 18 00000002 10
5e 18 00000002 10
5f 18 00000002 10
60 18 00000000 01
61 18 00000000 01
62 18 00000000 01
63 18 00000000 01
64 18 00000001 10
65 18 00000001 10
66 18 00000001 10
67 18 00000001 10
68 18 00000002 10
69 18 00000002 10
6a 18 00000002 10
6b 18 00000002 10
6c 18 7fffffff 10
6d 18 7fffffff 10
6e 18 7fffffff 10
6f 18 7fffffff 10
70 18 00000000 01
71 18 00000000 01
72 18 00000000 01
73 18 00000000 01
74 18 00000001 10
75 18 00000001 10
76 18 00000001 10
77 18 00000001 10
78 18 7ffffffe 00
79 18 7ffffffe 00
7a 18 7ffffffe 00
7b 18 7ffffffe 00
7c 18 7fffffff 10
7d 18 7fffffff 10
7e 18 7fffffff 10
7f 18 7fffffff 10
80 18 00000000 01
81 18 00000000 01
82 18 00000000 01
83 18 00000000 01
84 18 00000000 01
85 18 00000000 01
86 18 00000000 01
87 18 00000000 01
88 18 00000000 01
89 18 00000000 01
8a 18 00000000 01
8b 18 00000000 01
8c 18 00000000 01
8d 18 00000000 01
8e 18 00000000 01
8f 18 00000000 01
90 18 80000000 10
91 18 80000000 10
92 18 80000000 10
93 18 80000000 10
94 18 80000000 10
95 18 80000000 10
96 18 80000000 10
97 18 80000000 10
98 18 80000000 10
99 18 80000000 10
9a 18 80000000 10
9b 18 80000000 10
9c 18 80000000 10
9d 18 80000000 10
9e 18 80000000 10
9f 18 80000000 10
a0 18 00000000 01
a1 18 00000000 01
a2 18 00000000 01
a3 18 00000000 01
a4 18 00000001 10
a5 18 00000001 10
a6 18 00000001 10
a7 18 00000001 10
a8 18 00000000 01
a9 18 00000000 01
aa 18 00000000 01
ab 18 00000000 01
ac 18 00000001 10
ad 18 00000001 10
ae 18 00000001 10
af 18 00000001 10
b0 18 80000000 10
b1 18 80000000 10
b2 18 80000000 10
b3 18 80000000 10
b4 18 80000001 00
b5 18 80000001 00
b6 18 80000001 00
b7 18 80000001 00
b8 18 80000000 10
b9 18 80000000 10
ba 18 80000000 10
bb 18 80000000 10
bc 18 80000001 00
bd 18 80000001 00
be 18 80000001 00
bf 18 80000001 00
c0 18 00000000 01
c1 18 00000000 01
c2 18 00000000 01
c3 18 00000000 01
c4 18 00000000 01
c5 18 00000000 01
c6 18 00000000 01
c7 18 00000000 01
c8 18 00000002 10
c9 18 00000002 10
ca 18 00000002 10
cb 18 00000002 10
cc 18 7ffffffe 00
cd 18 7ffffffe 00
ce 18 7ffffffe 00
cf 18 7ffffffe 00
d0 18 80000000 10
d1 18 80000000 10
d2 18 80000000 10
d3 18 80000000 10
d4 18 80000000 10
d5 18 80000000 10
d6 18 80000000 10
d7 18 80000000 10
d8 18 fffffffe 10
d9 18 fffffffe 10
da 18 fffffffe 10
db 18 fffffffe 10
dc 18 fffffffe 10
dd 18 fffffffe 10
de 18 fffffffe 10
df 18 fffffffe 10
e0 18 00000000 01
e1 18 00000000 01
e2 18 00000000 01
e3 18 00000000 01
e4 18 00000001 10
e5 18 00000001 10
e6 18 00000001 10
e7 18 00000001 10
e8 18 00000002 10
e9 18 00000002 10
ea 18 00000002 10
eb 18 00000002 10
ec 18 7fffffff 10
ed 18 7fffffff 10
ee 18 7fffffff 10
ef 18 7fffffff 10
f0 18 80000000 10
f1 18 80000000 10
f2 18 80000000 10
f3 18 80000000 10
f4 18 80000001 00
f5 18 80000001 00
f6 18 80000001 00
f7 18 80000001 00
f8 18 fffffffe 10
f9 18 fffffffe 10
fa 18 fffffffe 10
fb 18 fffffffe 10
fc 18 ffffffff 00
fd 18 ffffffff 00
fe 18 ffffffff 00
ff 18 ffffffff 00
ANDN  ---Q---- CZ
00 19 00000000 01
01 19 00000000 01
02 19 00000000 01
03 19 00000000 01
04 19 00000001 10
05 19 00000001 10
06 19 00000001 10
07 19 00000001 10
08 19 00000002 10
09 19 00000002 10
0a 19 00000002 10
0b 19 00000002 10
0c 19 7fffffff 10
0d 19 7fffffff 10
0e 19 7fffffff 10
0f 19 7fffffff 10
10 19 80000000 10
11 19 80000000 10
12 19 80000000 10
13 19 80000000 10
14 19 80000001 00
15 19 80000001 00
16 19 80000001 00
17 19 80000001 00
18 19 fffffffe 10
19 19 fffffffe 10
1a 19 fffffffe 10
1b 19 fffffffe 10
1c 19 ffffffff 00
1d 19 ffffffff 00
1e 19 ffffffff 00
1f 19 ffffffff 00
20 19 00000000 01
21 19 00000000 01
22 19 00000000 01
23 19 00000000 01
24 19 00000000 01
25 19 00000000 01
26 19 00000000 01
27 19 00000000 01
28 19 00000002 10
29 19 00000002 10
2a 19 00000002 10
2b 19 00000002 10
2c 19 7ffffffe 00
2d 19 7ffffffe 00
2e 19 7ffffffe 00
2f 19 7ffffffe 00
30 19 80000000 10
31 19 80000000 10
32 19 80000000 10
33 19 80000000 10
34 19 80000000 10
35 19 80000000 10
36 19 80000000 10
37 19 80000000 10
38 19 fffffffe 10
39 19 fffffffe 10
3a 19 fffffffe 10
3b 19 fffffffe 10
3c 19 fffffffe 10
3d 19 fffffffe 10
3e 19 fffffffe 10
3f 19 fffffffe 10
40 19 00000000 01
41 19 00000000 01
42 19 00000000 01
43 19 00000000 01
44 19 00000001 10
45 19 00000001 10
46 19 00000001 10
47 19 00000001 10
48 19 00000000 01
49 19 00000000 01
4a 19 00000000 01
4b 19 00000000 01
4c 19 7ffffffd 00
4d 19 7ffffffd 00
4e 19 7ffffffd 00
4f 19 7ffffffd 00
50 19 80000000 10
51 19 80000000 10
52 19 80000000 10
53 19 80000000 10
54 19 80000001 00
55 19 80000001 00
56 19 80000001 00
57 19 80000001 00
58 19 fffffffc 00
59 19 fffffffc 00
5a 19 fffffffc 00
5b 19 fffffffc 00
5c 19 fffffffd 10
5d 19 fffffffd 10
5e 19 fffffffd 10
5f 19 fffffffd 10
60 19 00000000 01
61 19 00000000 01
62 19 00000000 01
63 19 00000000 01
64 19 00000000 01
65 19 00000000 01
66 19 00000000 01
67 19 00000000 01
68 19 00000000 01
69 19 00000000 01
6a 19 00000000 01
6b 19 00000000 01
6c 19 00000000 01
6d 19 00000000 01
6e 19 00000000 01
6f 19 00000000 01
70 19 80000000 10
71 19 80000000 10
72 19 80000000 10
73 19 80000000 10
74 19 80000000 10
75 19 80000000 10
76 19 80000000 10
77 19 80000000 10
78 19 80000000 10
79 19 80000000 10
7a 19 80000000 10
7b 19 80000000 10
7c 19 80000000 10
7d 19 80000000 10
7e 19 80000000 10
7f 19 80000000 10
80 19 00000000 01
81 19 00000000 01
82 19 00000000 01
83 19 00000000 01
84 19 00000001 10
85 19 00000001 10
86 19 00000001 10
87 19 00000001 10
88 19 00000002 10
89 19 00000002 10
8a 19 00000002 10
8b 19 00000002 10
8c 19 7fffffff 10
8d 19 7fffffff 10
8e 19 7fffffff 10
8f 19 7fffffff 10
90 19 00000000 01
91 19 00000000 01
92 19 00000000 01
93 19 00000000 01
94 19 00000001 10
95 19 00000001 10
96 19 00000001 10
97 19 00000001 10
98 19 7ffffffe 00
99 19 7ffffffe 00
9a 19 7ffffffe 00
9b 19 7ffffffe 00
9c 19 7fffffff 10
9d 19 7fffffff 10
9e 19 7fffffff 10
9f 19 7fffffff 10
a0 19 00000000 01
a1 19 00000000 01
a2 19 00000000 01
a3 19 00000000 01
a4 19 00000000 01
a5 19 00000000 01
a6 19 00000000 01
a7 19 00000000 01
a8 19 00000002 10
a9 19 00000002 10
aa 19 00000002 10
ab 19 00000002 10
ac 19 7ffffffe 00
ad 19 7ffffffe 00
ae 19 7ffffffe 00
af 19 7ffffffe 00
b0 19 00000000 01
b1 19 00000000 01
b2 19 00000000 01
b3 19 00000000 01
b4 19 00000000 01
b5 19 00000000 01
b6 19 00000000 01
b7 19 00000000 01
b8 19 7ffffffe 00
b9 19 7ffffffe 00
ba 19 7ffffffe 00
bb 19 7ffffffe 00
bc 19 7ffffffe 00
bd 19 7ffffffe 00
be 19 7ffffffe 00
bf 19 7ffffffe 00
c0 19 00000000 01
c1 19 00000000 01
c2 19 00000000 01
c3 19 00000000 01
c4 19 00000001 10
c5 19 00000001 10
c6 19 00000001 10
c7 19 00000001 10
c8 19 00000000 01
c9 19 00000000 01
ca 19 00000000 01
cb 19 00000000 01
cc 19 00000001 10
cd 19 00000001 10
ce 19 00000001 10
cf 19 00000001 10
d0 19 00000000 01
d1 19 00000000 01
d2 19 00000000 01
d3 19 00000000 01
d4 19 00000001 10
d5 19 00000001 10
d6 19 00000001 10
d7 19 00000001 10
d8 19 00000000 01
d9 19 00000000 01
da 19 00000000 01
db 19 00000000 01
dc 19 00000001 10
dd 19 00000001 10
de 19 00000001 10
df 19 00000001 10
e0 19 00000000 01
e1 19 00000000 01
e2 19 00000000 01
e3 19 00000000 01
e4 19 00000000 01
e5 19 00000000 01
e6 19 00000000 01
e7 19 00000000 01
